country,Strength of legal rights index,"Wage and salaried workers, total (% of total employment)","Vulnerable employment, total (% of total employment)",GDP per capita (current US$),decent_work_score
Sierra Leone,5.0,9.98600006103516,87.6449966430664,480.793021078601,2.1277372396755174
Singapore,8.0,85.9260025024414,8.29699984192848,55243.1328757177,4.401160300675602
Slovak Republic,7.0,84.5690002441406,12.2320003211499,16529.5409667954,2.588511784089568
Slovenia,3.0,85.7770004272461,10.5459995269775,21650.2127554094,2.357750217755851
Solomon Islands,10.0,36.492000579834,62.2989997863769,2056.48993503982,2.6079231149708497
South Africa,5.0,84.8489990234375,9.61099991202354,5280.01763276491,1.815503941410534
South Sudan,2.0,41.7630004882813,49.7970008850098,237.444118481,1.4788337608219384
Spain,5.0,83.0130004882813,12.0129996240139,26616.757796551,2.8022045289118203
Sri Lanka,2.0,57.0999984741211,40.0939998626709,3857.39636324977,1.6378845176726065
St. Lucia,5.0,65.3460006713867,28.7619993686676,9364.82152461143,2.1188619763283887
St. Vincent and the Grenadines,5.0,88.0579986572266,9.05800020694732,6982.25655587275,1.9159178925011136
Sudan,3.0,55.1879997253418,40.3459987640381,2415.03816212562,1.6691326229594576
Suriname,2.0,85.1709976196289,13.1860002279281,5871.4420029876,1.5693254462812896
Sweden,6.0,89.9869995117188,6.36499989032746,51844.7612618627,4.033140929452295
Switzerland,6.0,84.9169998168945,9.07699978351593,79866.0318745681,5.294733939251193
Tajikistan,1.0,51.2270011901855,48.1770014762879,795.843864367519,1.4614883925969684
Tanzania,5.0,13.6630001068115,83.5189971923828,877.507612002733,2.114848953547197
Thailand,3.0,47.0419998168945,50.2770004272461,5979.29354625548,1.9118132262762884
Togo,6.0,18.5499992370605,80.4330005645752,576.95947851643,2.211550375340853
Tonga,10.0,44.7039985656738,54.246000289917,3748.64179374888,2.6347938458624327
Trinidad and Tobago,7.0,77.5780029296875,16.4770001769066,16352.1097313399,2.5797259987175116
Tunisia,3.0,72.379997253418,20.8590002059936,3688.64637468078,1.5793376498177685
Turkey,2.0,67.4919967651367,27.9829998016358,10862.7253802906,1.8603380689617068
Uganda,6.0,22.076000213623,74.5960025787354,580.383533981828,2.1511009524369755
Ukraine,8.0,82.7470016479492,15.6959999799728,2185.72803066435,2.089775746303677
United Arab Emirates,2.0,96.890998840332,0.36999998614192,38517.8003858029,2.9540593674599944
United Kingdom,7.0,84.5019989013672,13.0560002028942,40412.0336199885,3.6823057218705992
United States,11.0,90.1399993896484,6.1869998127222,57588.538070583,4.85036492263065
Uruguay,4.0,72.0579986572266,23.7980005145073,15298.3508918226,2.2617365743998716
Uzbekistan,6.0,72.0839996337891,25.2270002365113,2105.87090478917,1.9119763135564622
Vanuatu,11.0,25.5249996185303,73.2039995193481,2913.96723179505,2.827334163573661
Vietnam,7.0,41.2490005493164,55.9010009765625,2170.64805431211,2.2204997257466808
Zambia,7.0,22.0289993286133,77.6180000305176,1262.98968188557,2.3431147350297645
Zimbabwe,5.0,34.1129989624023,65.2250003814698,1029.07664856057,2.026952651681881
